"id","Name","Universe","Alignment","Eye_Color","Sex","GSM","Alive","AppearanceBin","Inaugural_Mo","Inaugural_Yr","IdentitiyStatus","URL","TotalAppearances"
684,"Mister Negative (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jun",2007,"Secret Identity","https://marvel.fandom.com/Mister_Negative_(Earth-616)",54
685,"William Lumpkin (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",1,"Feb",1963,"Public Identity","https://marvel.fandom.com/William_Lumpkin_(Earth-616)",53
686,"Ego (Earth-616)","marvel","","","Male Characters","","Living Characters",1,"Sep",1966,"No Dual Identity","https://marvel.fandom.com/Ego_(Earth-616)",53
687,"Bova Ayrshire (Earth-616)","marvel","Good Characters","Brown Eyes","Female Characters","","Deceased Characters",1,"Aug",1974,"Secret Identity","https://marvel.fandom.com/Bova_Ayrshire_(Earth-616)",53
688,"Seth (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Oct",1975,"No Dual Identity","https://marvel.fandom.com/Seth_(Earth-616)",53
689,"Brian Falsworth (Earth-616)","marvel","","Brown Eyes","Male Characters","Homosexual Characters","Deceased Characters",1,"Jul",1977,"Secret Identity","https://marvel.fandom.com/Brian_Falsworth_(Earth-616)",53
690,"Nikolai Krylenko (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",1,"Apr",1978,"Secret Identity","https://marvel.fandom.com/Nikolai_Krylenko_(Earth-616)",53
691,"Valinor (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Living Characters",1,"Mar",1979,"Public Identity","https://marvel.fandom.com/Valinor_(Earth-616)",53
692,"Ann Darnell (Earth-616)","marvel","","Green Eyes","Female Characters","","Living Characters",1,"Dec",1980,"Secret Identity","https://marvel.fandom.com/Ann_Darnell_(Earth-616)",53
693,"Alexander Pierce (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Aug",1988,"","https://marvel.fandom.com/Alexander_Pierce_(Earth-616)",53
694,"Kayla Ballantine (Earth-616)","marvel","Good Characters","","Female Characters","","Living Characters",1,"Nov",1989,"Public Identity","https://marvel.fandom.com/Kayla_Ballantine_(Earth-616)",53
695,"Vanessa Carlysle (Earth-616)","marvel","Neutral Characters","Red Eyes","Female Characters","","Living Characters",1,"Feb",1991,"Secret Identity","https://marvel.fandom.com/Vanessa_Carlysle_(Earth-616)",53
696,"Donyell Taylor (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Oct",1993,"Secret Identity","https://marvel.fandom.com/Donyell_Taylor_(Earth-616)",53
697,"Ken Ellis (Earth-616)","marvel","","Brown Eyes","Male Characters","","Living Characters",1,"Nov",1994,"Public Identity","https://marvel.fandom.com/Ken_Ellis_(Earth-616)",53
698,"Teon Macik (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Dec",2010,"Secret Identity","https://marvel.fandom.com/Teon_Macik_(Earth-616)",53
699,"Wu (Earth-616)","marvel","Neutral Characters","","Male Characters","","Living Characters",1,"Apr",2010,"Secret Identity","https://marvel.fandom.com/Wu_(Earth-616)",53
700,"Eva Bell (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",1,"Jan",2013,"Public Identity","https://marvel.fandom.com/Eva_Bell_(Earth-616)",53
701,"Zuras (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"Aug",1940,"No Dual Identity","https://marvel.fandom.com/Zuras_(Earth-616)",52
702,"Kevin Marlow (Earth-616)","marvel","","Blue Eyes","Male Characters","","Living Characters",1,"Oct",1941,"Secret Identity","https://marvel.fandom.com/Kevin_Marlow_(Earth-616)",52
703,"Steven Rogers (William Burnside) (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",1,"Dec",1953,"Secret Identity","https://marvel.fandom.com/Steven_Rogers_(William_Burnside)_(Earth-616)",52
704,"Space Phantom (Earth-616)","marvel","","Black Eyes","Male Characters","","Living Characters",1,"Nov",1963,"","https://marvel.fandom.com/Space_Phantom_(Earth-616)",52
705,"Tana Nile (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Deceased Characters",1,"Jun",1966,"No Dual Identity","https://marvel.fandom.com/Tana_Nile_(Earth-616)",52
706,"Turk Barrett (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Oct",1970,"Public Identity","https://marvel.fandom.com/Turk_Barrett_(Earth-616)",52
707,"Xandarian Worldmind (Earth-616)","marvel","Good Characters","","","","Living Characters",1,"Apr",1977,"Public Identity","https://marvel.fandom.com/Xandarian_Worldmind_(Earth-616)",52
708,"Argon (Microverse) (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"Jan",1979,"Public Identity","https://marvel.fandom.com/Argon_(Microverse)_(Earth-616)",52
709,"Fabian Stankowicz (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",1,"Mar",1982,"Public Identity","https://marvel.fandom.com/Fabian_Stankowicz_(Earth-616)",52
710,"Masque (Morlock) (Earth-616)","marvel","","Red Eyes","Male Characters","","Living Characters",1,"May",1983,"Secret Identity","https://marvel.fandom.com/Masque_(Morlock)_(Earth-616)",52
711,"Manuel de la Rocha (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jun",1984,"Secret Identity","https://marvel.fandom.com/Manuel_de_la_Rocha_(Earth-616)",52
712,"Kodiak Noatak (Earth-616)","marvel","Bad Characters","","Male Characters","","Living Characters",1,"Oct",1986,"Secret Identity","https://marvel.fandom.com/Kodiak_Noatak_(Earth-616)",52
713,"Graydon Creed (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"Jan",1993,"No Dual Identity","https://marvel.fandom.com/Graydon_Creed_(Earth-616)",52
714,"Max Eisenhardt (Joseph) (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",1,"Dec",1995,"Secret Identity","https://marvel.fandom.com/Max_Eisenhardt_(Joseph)_(Earth-616)",52
715,"Seward Trainer (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Deceased Characters",1,"Jan",1995,"No Dual Identity","https://marvel.fandom.com/Seward_Trainer_(Earth-616)",52
716,"Tex Dawson (Earth-616)","marvel","Good Characters","","Male Characters","","Living Characters",1,"Dec",1954,"Public Identity","https://marvel.fandom.com/Tex_Dawson_(Earth-616)",51
717,"Gunther Bain (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Deceased Characters",1,"Nov",1964,"Secret Identity","https://marvel.fandom.com/Gunther_Bain_(Earth-616)",51
718,"Jeryn Hogarth (Earth-616)","marvel","Good Characters","","Male Characters","","Living Characters",1,"Aug",1977,"Public Identity","https://marvel.fandom.com/Jeryn_Hogarth_(Earth-616)",51
719,"Robert Farrell (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Living Characters",1,"Sep",1977,"Secret Identity","https://marvel.fandom.com/Robert_Farrell_(Earth-616)",51
720,"Maximillian Zaran (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",1,"Jun",1979,"No Dual Identity","https://marvel.fandom.com/Maximillian_Zaran_(Earth-616)",51
721,"Chons (Earth-616)","marvel","Neutral Characters","Variable Eyes","Male Characters","","Living Characters",1,"Nov",1980,"Public Identity","https://marvel.fandom.com/Chons_(Earth-616)",51
722,"Mikhail Ursus (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Apr",1981,"Secret Identity","https://marvel.fandom.com/Mikhail_Ursus_(Earth-616)",51
723,"Joshua Guthrie (Earth-616)","marvel","Good Characters","Green Eyes","Male Characters","","Deceased Characters",1,"Nov",1984,"Secret Identity","https://marvel.fandom.com/Joshua_Guthrie_(Earth-616)",51
724,"Antonio Rodriguez (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Living Characters",1,"Aug",1985,"Secret Identity","https://marvel.fandom.com/Antonio_Rodriguez_(Earth-616)",51
725,"Jack Hammer (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Living Characters",1,"Aug",1993,"Secret Identity","https://marvel.fandom.com/Jack_Hammer_(Earth-616)",51
726,"Neal Shaara (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"May",2000,"Secret Identity","https://marvel.fandom.com/Neal_Shaara_(Earth-616)",51
727,"John Jonah Jameson, Sr. (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",1,"Jan",2009,"No Dual Identity","https://marvel.fandom.com/John_Jonah_Jameson,_Sr._(Earth-616)",51
728,"Batman (Bruce Wayne)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",31,"May",1939,"Secret Identity","https://dc.fandom.com/wiki/Batman_(Bruce_Wayne)",3093
729,"Superman (Clark Kent)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",25,"Oct",1986,"Secret Identity","https://dc.fandom.com/wiki/Superman_(Clark_Kent)",2496
730,"Green Lantern (Hal Jordan)","dc","Good Characters","Brown Eyes","Male Characters","","Living Characters",16,"Oct",1959,"Secret Identity","https://dc.fandom.com/wiki/Green_Lantern_(Hal_Jordan)",1565
731,"James Gordon (New Earth)","dc","Good Characters","Brown Eyes","Male Characters","","Living Characters",13,"Feb",1987,"Public Identity","https://dc.fandom.com/wiki/James_Gordon_(New_Earth)",1316
732,"Richard Grayson (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",12,"Apr",1940,"Secret Identity","https://dc.fandom.com/wiki/Richard_Grayson_(New_Earth)",1237
733,"Wonder Woman (Diana Prince)","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",12,"Dec",1941,"Public Identity","https://dc.fandom.com/wiki/Wonder_Woman_(Diana_Prince)",1231
734,"Aquaman (Arthur Curry)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",11,"Nov",1941,"Public Identity","https://dc.fandom.com/wiki/Aquaman_(Arthur_Curry)",1121
735,"Timothy Drake (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",11,"Aug",1989,"Secret Identity","https://dc.fandom.com/wiki/Timothy_Drake_(New_Earth)",1095
736,"Dinah Laurel Lance (New Earth)","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",11,"Nov",1969,"Public Identity","https://dc.fandom.com/wiki/Dinah_Laurel_Lance_(New_Earth)",1075
737,"Flash (Barry Allen)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",10,"Oct",1956,"Secret Identity","https://dc.fandom.com/wiki/Flash_(Barry_Allen)",1028
738,"GenderTest","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",10,"Oct",1956,"Secret Identity","https://dc.fandom.com/wiki/GenderTest",1028
739,"Alan Scott (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",10,"Jul",1940,"Secret Identity","https://dc.fandom.com/wiki/Alan_Scott_(New_Earth)",969
740,"Barbara Gordon (New Earth)","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",10,"Jan",1967,"Secret Identity","https://dc.fandom.com/wiki/Barbara_Gordon_(New_Earth)",951
741,"Jason Garrick (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",10,"Jan",1940,"Public Identity","https://dc.fandom.com/wiki/Jason_Garrick_(New_Earth)",951
742,"Lois Lane (New Earth)","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",9,"Jun",1938,"Public Identity","https://dc.fandom.com/wiki/Lois_Lane_(New_Earth)",934
743,"Alfred Pennyworth (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",9,"Apr",1943,"Public Identity","https://dc.fandom.com/wiki/Alfred_Pennyworth_(New_Earth)",930
744,"Carter Hall (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",8,"Jan",1940,"Secret Identity","https://dc.fandom.com/wiki/Carter_Hall_(New_Earth)",803
745,"Kyle Rayner (New Earth)","dc","Good Characters","Green Eyes","Male Characters","","Living Characters",7,"Jan",1994,"Secret Identity","https://dc.fandom.com/wiki/Kyle_Rayner_(New_Earth)",716
746,"Raymond Palmer (New Earth)","dc","Good Characters","Brown Eyes","Male Characters","","Living Characters",7,"Oct",1961,"Public Identity","https://dc.fandom.com/wiki/Raymond_Palmer_(New_Earth)",706
747,"Alexander Luthor (New Earth)","dc","Bad Characters","Green Eyes","Male Characters","","Living Characters",7,"Oct",1986,"Public Identity","https://dc.fandom.com/wiki/Alexander_Luthor_(New_Earth)",677
748,"Roy Harper (New Earth)","dc","Neutral Characters","Green Eyes","Male Characters","","Living Characters",7,"Nov",1941,"Secret Identity","https://dc.fandom.com/wiki/Roy_Harper_(New_Earth)",654
749,"Kara Zor-L (Earth-Two)","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",6,"Feb",1976,"Secret Identity","https://dc.fandom.com/wiki/Kara_Zor-L_(Earth-Two)",635
750,"Ted Grant (New Earth)","dc","","Blue Eyes","Male Characters","","Living Characters",6,"Jan",1942,"Secret Identity","https://dc.fandom.com/wiki/Ted_Grant_(New_Earth)",605
751,"Garfield Logan (New Earth)","dc","Good Characters","Green Eyes","Male Characters","","Living Characters",6,"Nov",1965,"Public Identity","https://dc.fandom.com/wiki/Garfield_Logan_(New_Earth)",595
752,"Guy Gardner (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",6,"Mar",1968,"Public Identity","https://dc.fandom.com/wiki/Guy_Gardner_(New_Earth)",593
753,"Victor Stone (New Earth)","dc","Good Characters","Brown Eyes","Male Characters","","Living Characters",6,"Oct",1980,"Public Identity","https://dc.fandom.com/wiki/Victor_Stone_(New_Earth)",584
754,"Kon-El (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",6,"Jun",1993,"Secret Identity","https://dc.fandom.com/wiki/Kon-El_(New_Earth)",560
755,"Ralph Dibny (New Earth)","dc","","Blue Eyes","Male Characters","","Deceased Characters",6,"May",1960,"Public Identity","https://dc.fandom.com/wiki/Ralph_Dibny_(New_Earth)",558
756,"James Olsen (New Earth)","dc","Good Characters","Green Eyes","Male Characters","","Living Characters",6,"Oct",1986,"Public Identity","https://dc.fandom.com/wiki/James_Olsen_(New_Earth)",557
757,"John Stewart (New Earth)","dc","Good Characters","Brown Eyes","Male Characters","","Living Characters",5,"Dec",1971,"Public Identity","https://dc.fandom.com/wiki/John_Stewart_(New_Earth)",549
758,"Joker (New Earth)","dc","Bad Characters","Green Eyes","Male Characters","","Living Characters",5,"Jun",1940,"Secret Identity","https://dc.fandom.com/wiki/Joker_(New_Earth)",517
759,"Franklin Rock (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",5,"Apr",1959,"Public Identity","https://dc.fandom.com/wiki/Franklin_Rock_(New_Earth)",492
760,"Garth (New Earth)","dc","Good Characters","Purple Eyes","Male Characters","","Deceased Characters",5,"Feb",1960,"Public Identity","https://dc.fandom.com/wiki/Garth_(New_Earth)",487
761,"Rex Mason (New Earth)","dc","","Black Eyes","Male Characters","","Living Characters",5,"Jan",1965,"Secret Identity","https://dc.fandom.com/wiki/Rex_Mason_(New_Earth)",470
762,"Zatanna Zatara (New Earth)","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",4,"Nov",1964,"Public Identity","https://dc.fandom.com/wiki/Zatanna_Zatara_(New_Earth)",439
763,"Aztar (New Earth)","dc","","White Eyes","Male Characters","","Living Characters",4,"Feb",1940,"Secret Identity","https://dc.fandom.com/wiki/Aztar_(New_Earth)",436
764,"Theodore Kord (New Earth)","dc","","Blue Eyes","Male Characters","","Deceased Characters",4,"Feb",1986,"Secret Identity","https://dc.fandom.com/wiki/Theodore_Kord_(New_Earth)",429
765,"Michael Jon Carter (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",4,"Feb",1986,"Public Identity","https://dc.fandom.com/wiki/Michael_Jon_Carter_(New_Earth)",427
766,"Cassandra Sandsmark (New Earth)","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",4,"Jan",1996,"Public Identity","https://dc.fandom.com/wiki/Cassandra_Sandsmark_(New_Earth)",423
767,"Kent Nelson (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",4,"May",1940,"Secret Identity","https://dc.fandom.com/wiki/Kent_Nelson_(New_Earth)",422
768,"Harvey Bullock (New Earth)","dc","Good Characters","Brown Eyes","Male Characters","","Living Characters",4,"Jul",1974,"Public Identity","https://dc.fandom.com/wiki/Harvey_Bullock_(New_Earth)",413
769,"Rachel Roth (New Earth)","dc","Good Characters","Purple Eyes","Female Characters","","Living Characters",4,"Oct",1980,"Secret Identity","https://dc.fandom.com/wiki/Rachel_Roth_(New_Earth)",399
770,"Helena Bertinelli (New Earth)","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",4,"Apr",1989,"Secret Identity","https://dc.fandom.com/wiki/Helena_Bertinelli_(New_Earth)",393
771,"Wesley Dodds (New Earth)","dc","Good Characters","Brown Eyes","Male Characters","","Deceased Characters",4,"Apr",1939,"Secret Identity","https://dc.fandom.com/wiki/Wesley_Dodds_(New_Earth)",391
772,"Uxas (New Earth)","dc","Bad Characters","Red Eyes","Male Characters","","Deceased Characters",4,"Dec",1970,"Public Identity","https://dc.fandom.com/wiki/Uxas_(New_Earth)",388
773,"Nathaniel Adam (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",4,"Mar",1987,"Secret Identity","https://dc.fandom.com/wiki/Nathaniel_Adam_(New_Earth)",386
774,"Ronald Raymond (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",4,"Mar",1978,"Secret Identity","https://dc.fandom.com/wiki/Ronald_Raymond_(New_Earth)",386
775,"Red Tornado (New Earth)","dc","Good Characters","Green Eyes","Male Characters","","Living Characters",4,"Aug",1968,"Secret Identity","https://dc.fandom.com/wiki/Red_Tornado_(New_Earth)",374
776,"John Constantine (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","Bisexual Characters","Living Characters",4,"Jun",1984,"Public Identity","https://dc.fandom.com/wiki/John_Constantine_(New_Earth)",371
777,"Albert Pratt (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",4,"Oct",1940,"Secret Identity","https://dc.fandom.com/wiki/Albert_Pratt_(New_Earth)",370
778,"Charles McNider (New Earth)","dc","","Blue Eyes","Male Characters","","Deceased Characters",4,"Apr",1941,"Secret Identity","https://dc.fandom.com/wiki/Charles_McNider_(New_Earth)",361
779,"Theodore Knight (New Earth)","dc","Good Characters","Brown Eyes","Male Characters","","Deceased Characters",4,"Apr",1941,"Secret Identity","https://dc.fandom.com/wiki/Theodore_Knight_(New_Earth)",356
780,"Lobo (New Earth)","dc","Neutral Characters","Red Eyes","Male Characters","","Living Characters",4,"Jun",1983,"Public Identity","https://dc.fandom.com/wiki/Lobo_(New_Earth)",353
781,"Perry White (New Earth)","dc","","Blue Eyes","Male Characters","","Living Characters",3,"Oct",1986,"Public Identity","https://dc.fandom.com/wiki/Perry_White_(New_Earth)",350
782,"John Henry Irons (New Earth)","dc","Good Characters","Brown Eyes","Male Characters","","Living Characters",3,"Jun",1993,"Public Identity","https://dc.fandom.com/wiki/John_Henry_Irons_(New_Earth)",345
783,"Jefferson Pierce (New Earth)","dc","Good Characters","Brown Eyes","Male Characters","","Living Characters",3,"Apr",1977,"Secret Identity","https://dc.fandom.com/wiki/Jefferson_Pierce_(New_Earth)",344
784,"Slade Wilson (New Earth)","dc","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",3,"Dec",1980,"Secret Identity","https://dc.fandom.com/wiki/Slade_Wilson_(New_Earth)",336
785,"Phantom Stranger (New Earth)","dc","","Black Eyes","Male Characters","","Living Characters",3,"Sep",1952,"Secret Identity","https://dc.fandom.com/wiki/Phantom_Stranger_(New_Earth)",335
786,"Beatriz da Costa (New Earth)","dc","Good Characters","Green Eyes","Female Characters","","Living Characters",3,"Jun",1982,"Secret Identity","https://dc.fandom.com/wiki/Beatriz_da_Costa_(New_Earth)",325
787,"William Batson (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",3,"Feb",1940,"Secret Identity","https://dc.fandom.com/wiki/William_Batson_(New_Earth)",321
788,"Carol Ferris (New Earth)","dc","Neutral Characters","Blue Eyes","Female Characters","","Living Characters",3,"Oct",1959,"Public Identity","https://dc.fandom.com/wiki/Carol_Ferris_(New_Earth)",319
789,"Clifford Steele (New Earth)","dc","","Photocellular Eyes","Male Characters","","Living Characters",3,"Jun",1963,"Public Identity","https://dc.fandom.com/wiki/Clifford_Steele_(New_Earth)",314
790,"Etrigan (New Earth)","dc","Neutral Characters","Red Eyes","Male Characters","","Living Characters",3,"Sep",1972,"Public Identity","https://dc.fandom.com/wiki/Etrigan_(New_Earth)",311
791,"Jennifer-Lynn Hayden (New Earth)","dc","Good Characters","Green Eyes","Female Characters","","Living Characters",3,"Sep",1983,"Secret Identity","https://dc.fandom.com/wiki/Jennifer-Lynn_Hayden_(New_Earth)",309
792,"Swamp Thing (New Earth)","dc","Good Characters","Red Eyes","Male Characters","","Living Characters",3,"Nov",1972,"Public Identity","https://dc.fandom.com/wiki/Swamp_Thing_(New_Earth)",309
793,"Renee Montoya (New Earth)","dc","Good Characters","Brown Eyes","Female Characters","Homosexual Characters","Living Characters",3,"Mar",1992,"Secret Identity","https://dc.fandom.com/wiki/Renee_Montoya_(New_Earth)",308
794,"Harvey Dent (New Earth)","dc","Bad Characters","Blue Eyes","Male Characters","","Living Characters",3,"Aug",1942,"Public Identity","https://dc.fandom.com/wiki/Harvey_Dent_(New_Earth)",306
795,"Courtney Whitmore (New Earth)","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",3,"Jul",1999,"Secret Identity","https://dc.fandom.com/wiki/Courtney_Whitmore_(New_Earth)",305
796,"Kendra Saunders (New Earth)","dc","Good Characters","Hazel Eyes","Female Characters","","Deceased Characters",3,"Aug",1999,"Secret Identity","https://dc.fandom.com/wiki/Kendra_Saunders_(New_Earth)",301
797,"Michael Holt (New Earth)","dc","","Brown Eyes","Male Characters","","Living Characters",3,"Jun",1997,"Secret Identity","https://dc.fandom.com/wiki/Michael_Holt_(New_Earth)",300
798,"Kilowog (New Earth)","dc","Good Characters","Red Eyes","Male Characters","","Living Characters",3,"Jun",1986,"Public Identity","https://dc.fandom.com/wiki/Kilowog_(New_Earth)",299
799,"Kara Zor-El (New Earth)","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",3,"May",2004,"Secret Identity","https://dc.fandom.com/wiki/Kara_Zor-El_(New_Earth)",297
800,"Jonah Hex (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",3,"Mar",1972,"Public Identity","https://dc.fandom.com/wiki/Jonah_Hex_(New_Earth)",291
801,"Rex Tyler (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",3,"Mar",1940,"Secret Identity","https://dc.fandom.com/wiki/Rex_Tyler_(New_Earth)",288
802,"Pamela Isley (New Earth)","dc","Neutral Characters","Green Eyes","Female Characters","","Living Characters",3,"Jun",1966,"Secret Identity","https://dc.fandom.com/wiki/Pamela_Isley_(New_Earth)",286
803,"Pieter Cross (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",3,"Feb",1999,"Secret Identity","https://dc.fandom.com/wiki/Pieter_Cross_(New_Earth)",284
804,"Jonathan L. Thunder (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",3,"Jan",1940,"Secret Identity","https://dc.fandom.com/wiki/Jonathan_L._Thunder_(New_Earth)",282
805,"Mari McCabe (New Earth)","dc","Good Characters","Amber Eyes","Female Characters","","Living Characters",3,"Jul",1981,"Secret Identity","https://dc.fandom.com/wiki/Mari_McCabe_(New_Earth)",268
806,"Scott Free (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",3,"Apr",1971,"Secret Identity","https://dc.fandom.com/wiki/Scott_Free_(New_Earth)",268
807,"Martha Clark (New Earth)","dc","Good Characters","Blue Eyes","Female Characters","","Living Characters",3,"Oct",1986,"Public Identity","https://dc.fandom.com/wiki/Martha_Clark_(New_Earth)",266
808,"Boston Brand (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",3,"Oct",1967,"Secret Identity","https://dc.fandom.com/wiki/Boston_Brand_(New_Earth)",262
809,"Daniel Turpin (New Earth)","dc","","Brown Eyes","Male Characters","","Deceased Characters",3,"Jun",1942,"Public Identity","https://dc.fandom.com/wiki/Daniel_Turpin_(New_Earth)",261
810,"John Zatara (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",3,"Jun",1938,"Secret Identity","https://dc.fandom.com/wiki/John_Zatara_(New_Earth)",256
811,"Jonathan Kent (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",3,"Oct",1986,"Public Identity","https://dc.fandom.com/wiki/Jonathan_Kent_(New_Earth)",254
812,"Oswald Cobblepot (New Earth)","dc","","Blue Eyes","Male Characters","","Living Characters",3,"Dec",1941,"Public Identity","https://dc.fandom.com/wiki/Oswald_Cobblepot_(New_Earth)",253
813,"Tatsu Yamashiro (New Earth)","dc","Good Characters","Brown Eyes","Female Characters","","Living Characters",3,"Jul",1983,"Secret Identity","https://dc.fandom.com/wiki/Tatsu_Yamashiro_(New_Earth)",252
814,"Lawrence Trainor (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",2,"Jun",1963,"Secret Identity","https://dc.fandom.com/wiki/Lawrence_Trainor_(New_Earth)",250
815,"Albert Rothstein (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",2,"Sep",1983,"Secret Identity","https://dc.fandom.com/wiki/Albert_Rothstein_(New_Earth)",245
816,"Brion Markov (New Earth)","dc","Good Characters","Green Eyes","Male Characters","","Living Characters",2,"Jul",1983,"Secret Identity","https://dc.fandom.com/wiki/Brion_Markov_(New_Earth)",245
817,"Sanderson Hawkins (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Living Characters",2,"Dec",1941,"Secret Identity","https://dc.fandom.com/wiki/Sanderson_Hawkins_(New_Earth)",241
818,"Jonathan Chambers (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",2,"Sep",1941,"Secret Identity","https://dc.fandom.com/wiki/Jonathan_Chambers_(New_Earth)",239
819,"Orion (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",2,"Mar",1971,"Public Identity","https://dc.fandom.com/wiki/Orion_(New_Earth)",237
820,"Thaal Sinestro (New Earth)","dc","Neutral Characters","Yellow Eyes","Male Characters","","Living Characters",2,"Aug",1961,"Public Identity","https://dc.fandom.com/wiki/Thaal_Sinestro_(New_Earth)",237
821,"Cassandra Cain (New Earth)","dc","Good Characters","Brown Eyes","Female Characters","","Living Characters",2,"Jul",1999,"Secret Identity","https://dc.fandom.com/wiki/Cassandra_Cain_(New_Earth)",235
822,"Jason Todd (New Earth)","dc","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",2,"Jun",1987,"Secret Identity","https://dc.fandom.com/wiki/Jason_Todd_(New_Earth)",235
823,"Susan Dearbon (New Earth)","dc","Good Characters","","Female Characters","","Deceased Characters",2,"Mar",1961,"Public Identity","https://dc.fandom.com/wiki/Susan_Dearbon_(New_Earth)",235
824,"Jean-Paul Valley (New Earth)","dc","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",2,"Oct",1992,"Secret Identity","https://dc.fandom.com/wiki/Jean-Paul_Valley_(New_Earth)",234
